key,value
exported_at,2026-05-16T15:49:17.490Z
energy_setting,10.000000
classical_mode,ballistic
gamma_internal,1.000000
gamma_displayed,0.000000
instrument_sigma,0.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,80.000000
n_energy_bins,100.000000
energy_axis_max,400.000000
n_eigenstates_included,6.000000
classical_measurements,10002.000000
classical_mean_x,0.500725
classical_mean_E,10.000000
quantum_position_measurements,10002.000000
quantum_energy_measurements,10002.000000
quantum_mean_x,0.498108
quantum_mean_E,9.881446

eigenstate_n,energy_E_n
1,9.869604
2,39.478418
3,88.826440
4,157.913670
5,246.740110
6,355.305758

type,panel,bin_index,bin_center,density
position,classical,0,0.006250,0.831834
position,quantum,0,0.006250,0.000000
position,classical,1,0.018750,1.023795
position,quantum,1,0.018750,0.000000
position,classical,2,0.031250,1.007798
position,quantum,2,0.031250,0.023995
position,classical,3,0.043750,0.999800
position,quantum,3,0.043750,0.039992
position,classical,4,0.056250,0.975805
position,quantum,4,0.056250,0.087982
position,classical,5,0.068750,1.039792
position,quantum,5,0.068750,0.079984
position,classical,6,0.081250,1.039792
position,quantum,6,0.081250,0.119976
position,classical,7,0.093750,0.975805
position,quantum,7,0.093750,0.087982
position,classical,8,0.106250,0.959808
position,quantum,8,0.106250,0.295941
position,classical,9,0.118750,1.047790
position,quantum,9,0.118750,0.215957
position,classical,10,0.131250,0.967806
position,quantum,10,0.131250,0.367926
position,classical,11,0.143750,1.031794
position,quantum,11,0.143750,0.343931
position,classical,12,0.156250,1.031794
position,quantum,12,0.156250,0.551890
position,classical,13,0.168750,0.991802
position,quantum,13,0.168750,0.343931
position,classical,14,0.181250,0.935813
position,quantum,14,0.181250,0.783843
position,classical,15,0.193750,1.023795
position,quantum,15,0.193750,0.623875
position,classical,16,0.206250,1.031794
position,quantum,16,0.206250,0.839832
position,classical,17,0.218750,0.991802
position,quantum,17,0.218750,0.751850
position,classical,18,0.231250,1.015797
position,quantum,18,0.231250,0.967806
position,classical,19,0.243750,1.039792
position,quantum,19,0.243750,0.735853
position,classical,20,0.256250,0.967806
position,quantum,20,0.256250,1.239752
position,classical,21,0.268750,1.023795
position,quantum,21,0.268750,0.855829
position,classical,22,0.281250,1.055789
